id,name,genre,artists,album,popularity,duration_ms,explicit,genre_id,artists_id,album_id,duration_s
3u0gC7P90zklDn58qdNti9,Salsaton - Salsa,salsa,El Rubio Loco,Voglio scoprir l'America,0.43333333333333335,261826,0,104,1258,4522,0.29344860287591434
4ENo69KpwpYb1C8UyhruQo,Sambalero,samba,"Stan Getz, Luiz Bonfá, Maria Toledo",Jazz Samba Encore!,0.45555555555555555,128160,0,105,3654,2183,0.1242085031545921
1bpnYrDCforv9ctJMzJRV8,"Defying Gravity - From ""Wicked"" Original Broadway Cast Recording/2003",show-tunes,"Stephen Schwartz, Kristin Chenoweth, Idina Menzel, Stephen Oremus, Alex Lacamoire",Wicked,0.5777777777777778,353920,0,107,3673,4625,0.41005265883431397
1FSWSs9CL01RCYxXtm08Rf,Dance with Me Tonight,dance,Olly Murs,In Case You Didn't Know,0.6777777777777778,202226,0,21,2910,2049,0.21798655610717133
5j0McHPthKpOXRr3fBq8M0,Love in This Club (feat. Young Jeezy),club,"USHER, Jeezy",Here I Stand,0.7555555555555555,259720,0,18,4152,1869,0.2907821084045222
0dSPApaBoWn6SA4GKWq9QK,Romance,romance,YOASOBI,THE BOOK 2,0.5222222222222223,166426,0,102,4354,3943,0.17265868237695314
5yc59J3MR3tVDPTOgwgRI5,Soul Meets Body,soul,Death Cab for Cutie,Plans,0.6,229413,0,112,1034,3087,0.2524091511659266
4prEPl61C8qZpeo3IkYSMl,Sleepyhead,sleep,Passion Pit,Manners,0.6555555555555556,174760,0,110,2998,2565,0.1832107075073341
69CrOS7vEHIrhC2ILyEi0s,FLOWER,j-pop,JISOO,ME,0.7333333333333334,173134,0,64,1836,2497,0.18115196106360965
1rGZUPEI3iq6HYmI0V6a98,Skating,ska,Vince Guaraldi,The Definitive Vince Guaraldi,0.3666666666666667,144373,0,109,4214,4099,0.14473645893079395
23l1kVpqMVREiwU1YAlcr4,I Guess That's Why They Call It The Blues,blues,Elton John,Too Low For Zero,0.7333333333333334,285333,0,8,1297,4328,0.3232117963892171
1pK4PoyTIu4ry59gMza3ei,Indie Pop,indie-pop,Maximilian Schauer,Hard Crystal - Indie Pop,0.0,109842,0,59,2574,1809,0.1010153190487224
21BCncXSnmZFrhduHbzo5P,IDM,idm,Leaf House,Leaf House,0.0,254666,0,56,2258,2329,0.2843830281298707
0EGS5weZMyl81k406AyCC2,Dubstep,dubstep,Tyler Boeh,Wait for It,0.011111111111111112,148791,0,30,4144,4545,0.15033027306878566
7cLcJj1xiXdp7ZLI4iE6x3,Dubstep,dubstep,Swingin' Utters,Peace and Love,0.044444444444444446,129520,0,30,3749,3043,0.12593045589965068
